Time;temp.mean;dewpoint.mean
2017-08-04T14:17:50-04:00;null;null
2017-08-04T14:17:55-04:00;null;null
2017-08-04T14:18:00-04:00;null;null
2017-08-04T14:18:05-04:00;null;null
2017-08-04T14:18:10-04:00;null;null
2017-08-04T14:18:15-04:00;null;null
2017-08-04T14:18:20-04:00;null;null
2017-08-04T14:18:25-04:00;null;null
2017-08-04T14:18:30-04:00;null;null
2017-08-04T14:18:35-04:00;null;null
2017-08-04T14:18:40-04:00;null;null
2017-08-04T14:18:45-04:00;null;null
2017-08-04T14:18:50-04:00;null;null
2017-08-04T14:18:55-04:00;null;null
2017-08-04T14:19:00-04:00;null;null
2017-08-04T14:19:05-04:00;null;null
2017-08-04T14:19:10-04:00;null;null
2017-08-04T14:19:15-04:00;null;null
2017-08-04T14:19:20-04:00;null;null
2017-08-04T14:19:25-04:00;null;null
2017-08-04T14:19:30-04:00;null;null
2017-08-04T14:19:35-04:00;null;null
2017-08-04T14:19:40-04:00;null;null
2017-08-04T14:19:45-04:00;null;null
2017-08-04T14:19:50-04:00;null;null
2017-08-04T14:19:55-04:00;null;null
2017-08-04T14:20:00-04:00;null;null
2017-08-04T14:20:05-04:00;null;null
2017-08-04T14:20:10-04:00;null;null
2017-08-04T14:20:15-04:00;null;null
2017-08-04T14:20:20-04:00;null;null
2017-08-04T14:20:25-04:00;null;null
2017-08-04T14:20:30-04:00;null;null
2017-08-04T14:20:35-04:00;null;null
2017-08-04T14:20:40-04:00;null;null
2017-08-04T14:20:45-04:00;null;null
2017-08-04T14:20:50-04:00;null;null
2017-08-04T14:20:55-04:00;null;null
2017-08-04T14:21:00-04:00;null;null
2017-08-04T14:21:05-04:00;null;null
2017-08-04T14:21:10-04:00;null;null
2017-08-04T14:21:15-04:00;null;null
2017-08-04T14:21:20-04:00;null;null
2017-08-04T14:21:25-04:00;null;null
2017-08-04T14:21:30-04:00;null;null
2017-08-04T14:21:35-04:00;null;null
2017-08-04T14:21:40-04:00;null;null
2017-08-04T14:21:45-04:00;null;null
2017-08-04T14:21:50-04:00;null;null
2017-08-04T14:21:55-04:00;null;null
2017-08-04T14:22:00-04:00;null;null
2017-08-04T14:22:05-04:00;null;null
2017-08-04T14:22:10-04:00;null;null
2017-08-04T14:22:15-04:00;null;null
2017-08-04T14:22:20-04:00;null;null
2017-08-04T14:22:25-04:00;null;null
2017-08-04T14:22:30-04:00;null;null
2017-08-04T14:22:35-04:00;null;null
2017-08-04T14:22:40-04:00;null;null
2017-08-04T14:22:45-04:00;null;null
2017-08-04T14:22:50-04:00;null;null
2017-08-04T14:22:55-04:00;null;null
2017-08-04T14:23:00-04:00;null;null
2017-08-04T14:23:05-04:00;null;null
