,FileNames,Timestamp,absnum,ClearMax,amplitude,tempH,tempV,Start Time,End Time,Date,Cycle Time (s),Data,Bad Files
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0280.ibw,3584718966,4421275,99,0.470828,8848.91,890.74,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0281.ibw,3584718975,4568384,101,0.487302,8089.95,868.616,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0282.ibw,3584718983,4561303,100,0.491044,8322.42,897.626,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0283.ibw,3584718992,4578967,106,0.479762,8102.39,933.275,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0284.ibw,3584719000,4482186,108,0.481241,8115.97,893.064,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0285.ibw,3584719009,4413988,110,0.472334,8689.23,859.123,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0286.ibw,3584719017,4741980,105,0.477357,8670.91,967.355,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0287.ibw,3584719025,4604221,106,0.497684,8773.42,826.56,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0288.ibw,3584719034,4667010,106,0.51154,8350.4,823.097,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0289.ibw,3584719042,4681670,107,0.49434,8116.96,850.385,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0290.ibw,3584719051,4638016,105,0.499745,8325.43,884.103,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0291.ibw,3584719059,4599485,106,0.0410088,3591.41,364.765,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0292.ibw,3584719068,4628613,109,0.49121,8443.6,872.773,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0293.ibw,3584719076,4603746,103,0.48132,8623.33,868.34,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0294.ibw,3584719084,4801014,103,0.00610124,435.152,5.48E+56,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0295.ibw,3584719093,4729261,106,0.504481,8023.12,876.19,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0296.ibw,3584719101,4620621,102,0.501731,8455.52,863.874,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0297.ibw,3584719110,4391698,102,0.482417,8424,867.954,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0298.ibw,3584719118,4656535,105,0.50186,7979.46,883.123,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0299.ibw,3584719127,4663031,102,0.384313,7388.75,886.636,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0300.ibw,3584719135,4533461,104,0.474466,8566.42,872.409,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0301.ibw,3584719143,4244083,101,0.469116,8159.82,842.66,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0302.ibw,3584719152,4313609,100,0.147962,8298.1,1.98452,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0303.ibw,3584719160,4349973,100,0.477742,7998.1,820.055,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0304.ibw,3584719169,4266565,100,0.47173,7870.63,857.504,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0305.ibw,3584719177,4439487,98,0.485844,7775.34,825.858,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0306.ibw,3584719186,4311401,106,0.471371,7529.27,874.114,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0307.ibw,3584719194,4162184,98,0.463053,7682.98,830.475,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0308.ibw,3584719203,4204415,97,0.450499,7615.47,901.916,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0309.ibw,3584719211,4136768,94,0.465634,7766.45,799.063,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0310.ibw,3584719219,4081649,95,0.2069,8145.48,202300,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0311.ibw,3584719228,4193893,95,0.464322,7793.9,863.327,,,,,,
